symbol
RELIANCE.NS
HDFCBANK.NS
ICICIBANK.NS
INFY.NS
TCS.NS
ITC.NS
LT.NS
AXISBANK.NS
SBIN.NS
KOTAKBANK.NS
HINDUNILVR.NS
BHARTIARTL.NS
MARUTI.NS
SUNPHARMA.NS
ASIANPAINT.NS
ULTRACEMCO.NS
NESTLEIND.NS
TITAN.NS
BAJFINANCE.NS
BAJAJFINSV.NS
POWERGRID.NS
NTPC.NS
WIPRO.NS
HCLTECH.NS
ONGC.NS
JSWSTEEL.NS
INDUSINDBK.NS
TATASTEEL.NS
COALINDIA.NS
TATAMOTORS.NS
HDFCLIFE.NS
SBILIFE.NS
ADANIPORTS.NS
DIVISLAB.NS
DRREDDY.NS
GRASIM.NS
HEROMOTOCO.NS
BAJAJ-AUTO.NS
EICHERMOT.NS
BRITANNIA.NS
UPL.NS
TECHM.NS
SHREECEM.NS
CIPLA.NS
M&M.NS
APOLLOHOSP.NS
HAVELLS.NS
PIDILITIND.NS
VARROC.NS
ABB.NS
